SpeciesCode,ScientificName,CommonName,Tree Type,SppValueAssignment,Species Rating (%),Basic Price ($/sq in),Palm Trunk Cost($/ft),Replacement Cost ($),TAr (sq Inches),region
CO1,Cornus species,Dogwood,BDS,COFL,90,66,0,530,7.0650048828125,PiedmtCLT
COAL,Cornus alternifolia,Alternateleaf dogwood,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
COCO1,Cotinus coggygria,Smoke tree,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
COFL,Cornus florida,Flowering dogwood,BDS,COFL,90,66,0,530,7.0650048828125,PiedmtCLT
COKO,Cornus kousa,Kousa dogwood,BDS,BDS OTHER,82,66,0,530,7.0650048828125,PiedmtCLT
COMA,Cornus mas,Cornelian cherry,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
CR,Crataegus spp,Hawthorn,BDS,BDS OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
CRJA,Cryptomeria japonica,Japanese red cedar,CEL,CEL OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
CRPH,Crataegus phaenopyrum,Washington hawthorn,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
CRVI,Crataegus viridis,Green hawthorn,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
CULA,Cunninghamia lanceolata,Blue Chinese fir,CEL,CEL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
CULE,xCupressocyparis leylandii,Leyland cypress,CEL,CEL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
DIVI,Diospyros virginiana,Common persimmon,BDM,BDM OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
ELUM,Elaeagnus umbellata,Autumn olive,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
EU1,Eucalyptus spp,Gum,BEL,BEL OTHER,67,66,0,530,7.0650048828125,PiedmtCLT
FAGR,Fagus grandifolia,American beech,BDL,BDL OTHER,87,66,0,530,7.0650048828125,PiedmtCLT
FASY,Fagus sylvatica,European beech,BDL,BDL OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
FICA,Ficus carica,Common fig,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
FISI,Firmiana simplex,Chinese parasoltree,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
FORS,Forsythia species,Forsythia,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
FRAM,Fraxinus americana,White ash,BDL,BDL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
FRNI,Fraxinus nigra,Black ash,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
FRPE,Fraxinus pennsylvanica,Green ash,BDL,BDL OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
FRQU,Fraxinus quadrangulata,Blue ash,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
GIBI,Ginkgo biloba,Ginkgo,BDM,BDM OTHER,87,66,0,530,7.0650048828125,PiedmtCLT
GLTR,Gleditsia triacanthos,Honeylocust,BDL,BDL OTHER,55,66,0,530,7.0650048828125,PiedmtCLT
